microseconds,tokens ahead,probability ahead,probability score
299,0,0.0,0.9673196
295,0,0.0,0.9987482
285,0,0.0,0.57574004
298,1,0.8581451,0.10121893
287,1,0.9949384,0.0034898983
289,0,0.0,0.99987257
299,0,0.0,0.9999589
286,0,0.0,0.99990094
284,0,0.0,0.9995098
294,25,0.6849454,0.0110890055
305,0,0.0,0.28891164
298,23,0.7300348,0.008015807
286,0,0.0,0.7467785
444,0,0.0,0.9991186
395,0,0.0,0.28702864
299,0,0.0,0.8942558
427,7,0.8098173,0.007934678
298,0,0.0,0.4055099
290,0,0.0,0.8420752
